pref,district,pop,year,notmp,cluster,1s,2s,3s,4s,5s,6s,7s,8s,9s,sum,1r,2r,3r,4r,5r,6r,7r,8r,9r
茨城,大洗町,"15,715",2019,0,0,5,4,6,4,5,3,5,4,2,38,将来都市構造図（p.34）で「中心拠点」に都市機能を集約する方針は示されているが、「居住誘導区域」等の具体的な区域指定や人口密度の数値目標はない。,循環バスの運行ルート（p.41）が図示されているが、運行頻度等の具体的なサービス水準目標や、公共交通沿線への居住誘導策の記述が弱い。,「自転車ネットワーク方針図」（p.42）で具体的な通行空間路線が示されているが、健康増進計画等の健康指標と連動した目標はない。,「中心拠点では子育て世代や高齢者の暮らしやすい生活環境に必要な医療・福祉・健康増進のための施設の整備を促進します」（p.50）とあるが、高齢者の徒歩圏など具体的な配置基準の明記はない。,津波・高潮対策として防潮堤の整備促進（p.55）や避難施設の図示（p.57）はあるが、ハザードマップに基づく危険区域での土地利用規制や開発抑制に関する具体的な言及はない。,空き家対策として「既存ストックの活用を検討します」（p.49）との記述はあるが、具体的な目標や制度の記述がなく、交通安全や防犯に関する具体的施策（ゾーン30等）も記載がない。,「港湾・産業拠点」等の拠点設定（p.32）や「観光客をターゲットとした商業地の形成」（p.64）など誘導エリアの方針はあるが、売上高等の具体的な経済指標の目標設定はない。,「老朽化した施設は、建て替えや集約化を検討する」（p.46）と公共施設再編の方向性は示されているが、インフラ維持管理コストの具体的な削減目標や財政効果の試算はない。,「省エネルギーに配慮した低炭素なまちづくり」（p.47）との理念は述べられているが、CO2排出量の具体的な削減目標や再生可能エネルギー導入に関する記述はない。
茨城,城里町,"18,097",2021,1,3,5,4,3,4,4,6,4,6,7,43,ゾーン・拠点を設定しているが、具体的な区域図や数値目標は弱い。「市街地ゾーン」「田園居住ゾーン」「自然環境ゾーン」を設定し、「市街地拠点」「ふれあい健康拠点」「自然交流拠点」を位置づけ、「立地適正化計画に基づいた住宅・土地機能の誘導」を行うとしている。,公共交通の維持・検討に言及しているが、サービス水準目標や居住誘導との連携が欠けている。「既存の民間バスの維持、運行路線・本数の確保を図るとともに、「ふれあいタクシー」の利便性向上、スクールバス等との連携強化など、町民の需要に対応した総合的な公共交通システムの構築を検討・推進します。,歩道や自転車通行帯の設置に言及しているが、具体的なネットワーク計画や健康指標との明確な連動が不足している。「整備にあたっては、通学・通勤の安全や高齢者の利用に配慮した道路環境の確保のため、段差の解消や、歩道や自転車通行帯等の設置など人にやさしい道づくりを図ります。,地域包括ケアシステムや子育て環境整備の理念は示されているが、徒歩圏や施設配置基準などの具体的な都市空間計画が欠けている。「茨城型地域包括ケアシステムの展開を通じて、…住み慣れた地域で誰もが安心して暮らせるまちの実現を目指します。」「子どもを連れた親子が気軽に外出できる環境整備を図ります。,ハザードマップの活用やハード対策の記述はあるが、防災の観点からの土地利用規制に関する踏み込んだ記述がない。「ハザードマップ等の災害情報の周知、避難場所や避難経路の周知を進めるとともに、これらを活用した避難訓練等を積極的に実施して、災害時の安全な避難体制の強化を図ります。,空き家バンク制度や防犯・交通安全に関する具体的な取り組みが記載されている。「「城里町空家バンク制度」を活用した情報の提供や相談への対応、改修費助成等の支援体制の拡充などを図り、空家等の流通や利活用を促進します。」「夜間の犯罪防止、通行の安全確保のため、防犯灯などの防犯施設の整備・充実を図ります。,企業誘致や商業振興の方向性は示されているが、誘導エリアの明確な指定や経済指標の数値目標が欠けている。「国道バイパス沿道等に広域との利便性が高いことを活かした新規企業や既存立地企業拡大の受け皿としての工業等産業用地の確保を検討します。,公共施設等総合管理計画に基づき施設の維持管理や統廃合の方向性が示され、コスト削減にも言及があるが、具体的な削減額や財政効果の試算はない。「「公共施設等総合管理計画」に基づき、施設の維持管理や長寿命化を推進します。更新時期の近づく施設については、…施設の整理・統合の可能性についても検討します。,2050年ゼロカーボンシティを目標として掲げ、再生可能エネルギー導入の検討にも言及しているが、自動車依存脱却の視点が弱い。「「ゼロカーボンシティ」（2050年までに二酸化炭素の実質排出量ゼロ）の実現に向けた取組を行政が率先して推進します。」「太陽光発電システムや省エネ住宅、電気自動車等の導入に対する…町独自の補助制度の導入についても検討を進めます。」
茨城,東海村,"37,891",2020,0,2,7,4,4,4,7,3,6,6,2,43,「東海村立地適正化計画(都市再生特別措置法第81条第1項)」を本計画の一部と位置づけ、村の特性を踏まえたコンパクトなまちづくりを推進していきます。」(p.10) とあり、将来都市構造図(p.41)で都市拠点、行政サービス拠点等を設定しているため。ただし、具体的な誘導区域図や人口密度目標の記載はない。,「道路ネットワークの整備や医療・福祉施設など、主要な公共公益施設へのアクセスや住民・地区の需要などを考慮のうえ、バス路線の再編を検討します。」(p.47)とあるが、具体的な運行頻度等のサービス水準目標はない。,「「居心地が良く歩きたくなるまちなか」の形成を目指します。」(p.46)、「緑の拠点を結ぶ緑のまち歩きルートの形成を図ります。」(p.54)との記述はあるが、具体的なネットワーク計画図や健康指標との連動はない。,「高齢者をはじめ、子育て世代や障がい者など、すべての人が快適で、健康的に安心して暮らせる、思いやりと優しさを大切にしたまちづくりに取り組みます。」(p.37)と理念は示されているが、高齢者徒歩圏や子育て支援施設の具体的な配置基準の明記はない。,土砂災害警戒区域や浸水想定区域を図示(p.26)し、「自然災害に加えて原子力災害への対応を踏まえた防災対策の強化を図ります。」(p.52)と地域特性を踏まえているが、危険区域での土地利用規制に関する具体的な記述はない。,「適正な管理がなされていない空き家の解消に努めます。」(p.55)、「交差点の改良や街路灯などの交通安全施設の整備を計画的に実施します。」(p.47)といった記述はあるが、具体的な数値目標やゾーン30のような施策の導入に関する記述はない。,将来都市構造図(p.41)や土地利用方針(p.43)において「都市拠点」「産業拠点」「駅周辺商業地」等の誘導エリアを明確に指定しているが、売上高等の具体的な経済指標の目標設定はない。,「公共公益施設の将来更新費用の見通し」(p.24)で財源不足の課題を認識し、「公共施設等総合管理計画」(p.23)に基づき施設の改修や更新を進めるとしているが、具体的なコスト削減目標や施設再編計画は示されていない。,「都市の低炭素化を進め、環境と共生したまちづくりに取り組みます。」(p.37)との理念は示されているが、具体的なCO2排出量削減目標、再生可能エネルギー導入、スマートシティに関する記述はない。
茨城,大子町,"15,736",2024,1,3,3,4,2,5,6,7,4,7,6,44,中心市街地の活性化を目指す「大子まちなかビジョン」や別途策定の「大子町立地適正化計画」への言及はあるものの、本計画内では居住誘導区域等の具体的な区域図示や人口密度目標は示されていないため。,AI乗合タクシーの拡充など既存公共交通の維持・効率化は図られているが、サービス水準の具体的目標や居住誘導との連携が弱く、利用者数も維持目標にとどまっているため。,健康づくりに関する施策は記載されているが、「歩いて暮らせる」という理念や、具体的な歩行者・自転車ネットワーク計画、まちづくりと健康指標を連動させた目標設定が見られないため。,地域包括ケアシステムの推進やこども家庭センターの設置など、高齢者・子育て支援の拠点的・ソフト的な施策は計画されているが、徒歩圏内の施設配置といった都市計画的な視点での基準や計画が明記されていないため。,土砂災害・洪水ハザードマップの全戸配布や治水対策プロジェクトの推進など具体的な防災・減災施策は進められているが、ハザードマップに基づく土地利用規制や開発抑制、移転促進といった、より踏み込んだ記述はないため。,空き家対策（情報バンク、リフォーム助成）、交通安全（施設整備）、防犯（LED防犯灯設置）それぞれに具体的な施策と数値目標が設定されており、生活安全の維持に向けた取り組みが充実しているため。,既存商店街の活性化や企業誘致（サテライトオフィス）に関する施策はあるものの、商業・業務機能を誘導するエリアの明確な指定や、売上高など具体的な経済指標の目標設定がないため。,「大子町公共施設等総合管理計画」や「大子町橋梁長寿命化修繕計画」に基づき、公共施設の更新・統廃合・長寿命化や、インフラの予防保全を進める方針が明確に示されているため。,「ゼロカーボンシティ宣言」や「大子町地域脱炭素ビジョン」策定の方針が示され、再生可能エネルギー導入の数値目標も設定されているが、計画本体に具体的なCO2排出量削減目標は記載されていないため。
茨城,美浦村,"14,602",2012,0,0,4,2,3,3,5,3,6,3,3,32,市街化区域を整備・開発ゾーンと位置づけ、木原・美駒両地区の土地利用方針を示しているが、「居住誘導区域」等の明確な指定や人口密度等の数値目標はないため。,路線バスの維持・存続、デマンドタクシーの拡充を目指すとしているが、公共交通沿線への居住誘導や運行頻度等の具体的なサービス水準目標についての記述がないため。,自転車・歩行者ネットワークやフットパスの検討・活用に言及しているが、具体的なネットワーク計画図や整備目標、健康指標との連動についての記述がないため。,高齢者や子育て世代に配慮したユニバーサルデザインの推進や通学路の安全確保についての方針は示されているが、高齢者徒歩圏内の施設配置基準や具体的な子育て支援施設の配置計画に関する記述はないため。,区域区分制度により災害リスクが高い地域での宅地化を抑制する方針や、避難路・避難地の確保について記述しているが、ハザードマップに基づく危険区域の明示や、そこでの具体的な開発抑制・移転促進策までは言及していないため。,空き家の有効活用検討、通学路の安全確保、防犯灯の充実といった課題や方針が示されているが、空き家対策の具体的な制度や目標、ゾーン30等の具体的な交通安全施策に関する記述はないため。,木原地区の国道125号沿道や将来市街地として商業・業務機能の配置方針を示し、重点プロジェクトとして企業誘致を位置付けているが、売上高等といった具体的な経済指標の目標設定がないため。,「集中と選択」により限られた財源で効率的に都市基盤整備を行うという理念は示されているが、インフラ維持管理コストの具体的な削減目標や財政効果の試算、具体的な公共施設再編計画についての記述がないため。,CO2削減に向けた方針として、緑の保全、都市機能の集約、公共交通への移行促進を挙げているが、具体的なCO2排出量削減目標や再生可能エネルギー導入に関する記述がないため。
茨城,阿見町,"48,553",2024,0,1,6,5,6,5,7,8,6,7,6,56,３つの都市機能集約拠点区域（阿見中央、荒川沖、阿見吉原）のネットワーク強化を図るため、公共交通や道路ネットワークの充実を図るとともに、適切な機能配置を誘導します。拠点区域は設定されているが、立地適正化計画で定める誘導区域の明確な図示や人口密度等の数値目標は示されていないため。,町の実状に即した公共交通体系の構築を図るとともに、地域課題に対応した持続可能な交通手段についての検討を進めます。方針は明確ですが、具体的な路線計画や運行頻度等のサービス水準目標が示されておらず、検討段階の記述が多いため。,湖岸のサイクリングロードを含めた町内をネットワークするサイクリングネットワークの形成を推進します。そのため、霞ヶ浦平和記念公園、島津小公園、湖南公園、アウトレットモール、阿見町総合運動公園、本郷親水公園などを拠点にネットワークの充実を目指します。サイクリングネットワークは具体的ですが、歩行者ネットワークの計画性や健康指標との連携が弱いため。,福祉施設、医療施設、商業施設など、高齢者や障害者が利用する施設の立地に配慮した土地利用、都市基盤の整備を推進します。子ども・子育て支援制度の対象となる幼・保・小、放課後児童クラブ、子育て支援センターなどの建築物の安全確保を図るとともに、新たな施設立地に際しては、公共交通やネットワークなどを配慮します。方針は示されているが、具体的な徒歩圏域や施設配置基準が示されていないため。,整備した「液状化ハザードマップ」や「揺れやすさマップ」等を活用し、災害リスクを考慮した土地利用の誘導を図ります。ハザード情報を活用した土地利用誘導の方針が明記され、防災まちづくり計画図も示されているため。,「空家等対策の推進に関する特別措置法」や「阿見町空家等の適正管理に関する条例」に基づき、空家等の対策を総合的かつ計画的に実施するため、「阿見町空家等対策計画」を定め、空家等の適正管理を促進します。空き家対策について条例、計画、バンク制度、補助金と具体的な制度設計が示されているため。,生産・流通ゾーンは、３つの工業団地が立地する「工業系市街地」や生産・流通環境の形成を促進する「阿見吉原市街地」、生産・物流施設の集積地として整備を推進する「牛久阿見インターチェンジ周辺区域」などで構成します。産業・流通機能の誘導エリアは具体的ですが、売上高等、具体的な経済指標の目標設定が見当たらないため。,「阿見町公共施設等総合管理計画」に基づき、長期的な視点で更新・統廃合・長寿命化などを計画的に行い、財政負担の軽減・平準化及び公共施設の最適な配置の実現を目指しています。公共施設再編との連携が明確に示され、更新・統廃合の方針が具体的であるため。,「阿見町ゼロカーボンシティ宣言」による二酸化炭素排出量の実質ゼロを目指します。公共交通機関の利用促進、緑地の保全及び緑化の推進、再生可能エネルギー・バイオマスエネルギーの導入検討などを推進します。「ゼロカーボンシティ宣言」は明記されているものの、具体的なCO2削減数値目標や再生可能エネルギーの導入目標に欠けるため。
茨城,河内町,"8,231",2017,1,2,5,4,2,6,5,7,9,6,1,45,p.43で「福祉くらし・文化のまち」「子ども・にぎわいのまち」「仕事・交流のまち」の3地区の機能ゾーニングが図示されているが、「居住誘導区域」「都市機能誘導区域」といった法定区域の指定や人口密度等の数値目標はないため。,p.145でコミュニティバスの再整備と利用者数のKPI（現状→10万人）が示されているが、運行頻度等のサービス水準目標や公共交通沿線への居住誘導の視点が弱いため。,p.78の通学路安全確保対策など交通安全の記述はあるが、「歩いて暮らせる」理念に基づく歩行者・自転車ネットワーク計画や健康指標との連動に関する記述はないため。,p.40で地域包括ケアシステムへの言及があり、p.109-122に具体的な子育て・高齢者支援施策が多数計画されているが、高齢者の徒歩圏内での施設配置といった具体的な空間計画上の基準の明記はないため。,p.15で利根川決壊による洪水リスクを明確に認識し、p.134、p.135で避難訓練や広域連携等のソフト対策が計画されているが、ハザードマップに基づく土地利用規制や危険区域からの移転促進等の記述はないため。,p.132の空き家活用、p.78の通学路安全確保、p.81の「子ども１１０番の家」拡充など、空き家・交通安全・防犯について具体的なアクションプランとKPIが設定されているため。,p.100で「仕事・交流のまち（金江津地区）」を産業・流通拠点として位置づけ、p.101、102では「米ゲル」の６次産業化や廃校活用による企業誘致等の具体的な戦略と「米ゲル出荷額30億円」等の経済指標目標が明確に設定されているため。,p.27で小中学校の統合とそれに伴う6校の廃校活用という具体的な公共施設再編計画が示されているが、インフラ維持管理コストの削減目標やコンパクト化による財政効果の試算はないため。,p.142で「温室効果ガス排出抑制計画の見直し」という記述はあるものの、具体的なCO2排出量削減目標、再生可能エネルギー導入、自動車依存脱却に関する具体的な施策の記述が全くないため。
茨城,八千代町,"21,026",2021,0,0,4,3,4,3,4,5,4,4,1,32,「八千代町の基調となっている豊かな自然・田園空間と、コンパクトにまとまりのある市街地とが調和したまちを形成します。」(p.27)。都市空間構造として「中心拠点」等を設定しているものの、「居住誘導区域」「都市機能誘導区域」の明確な指定や人口密度等の数値目標はない。,「公共交通については、既存バス路線の利用を促進し、輸送力増強を図ります。」「町内初のデマンド交通である八菜まわ〜る号の運用について、...今後の利用状況やニーズを踏まえ、運行エリアの拡大や運行方法等を検討します。」(p.32)。具体的なサービス水準目標や公共交通沿線への居住誘導策の記載はない。,「水・緑の軸となる河川空間や身近な公園、神社仏閣、コミュニティ施設等を結ぶ道などを活かしながら、散策やサイクリング、ジョギング、ウォーキングなどが楽しめる健康づくりネットワークの形成に努めます。」(p.41)。鬼怒川サイクリングロードの活用に言及があるが、町全体の具体的な歩行者・自転車ネットワーク計画や健康指標との連動はない。,「保健センターを健康・福祉の拠点として位置づけ、施設の機能充実、強化等を進め、だれもが利用しやすい環境整備を進めます。」「安心して子育てができるよう、多様化する保育ニーズに対応した施設の充実を図ります。」(p.41)。高齢者徒歩圏や子育て施設の具体的な配置基準についての記載はない。,「市街地内で建築物が密集し、災害時に延焼拡大等の被害が想定される区域については、建築物の不燃化を誘導するとともに、オープンスペースの確保に努めます。」(p.40)。ハザードマップに基づく危険区域の明示や、そこでの具体的な土地利用規制・開発抑制に関する記載はない。,「関係機関との連携のもと、「空き家バンク」等の円滑な運用に取り組み、空き家等の利活用を促進していきます。」(p.40)、「防犯に配慮した公共施設の整備、防犯灯や防犯カメラの設置を進め、防犯性の高い環境づくりに努めます。」(p.40)。空き家バンク制度の運用に言及しているが、具体的な数値目標はない。,「工業団地の拡大や企業誘致による雇用の場の確保」(p.27)。都市空間構造において「産業拠点」や「産業系市街地ゾーン」(p.28)を位置づけているが、売上高等の具体的な経済指標目標はない。,「関係機関等と連携し、「八千代町公共施設等総合管理計画」等に基づき、計画的な施設の更新と長寿命化を図ります。」(p.35)。公共施設再編計画との連携は明記されているが、インフラ維持管理コストの具体的な削減目標やコンパクト化による財政効果に関する記載はない。,「地球温暖化対策への対応などにおいても公共交通の重要性は高いため、その利便性を向上させていくことが求められています。」(p.22)という課題認識の言及はあるが、具体的なCO2排出量削減目標、再生可能エネルギー導入に関する記載はない。
茨城,五霞町,"8,093",2020,0,2,5,4,5,4,6,3,6,8,2,43,「都市核（複合交流）」、「都市核（複合サービス）」等の拠点設定はあるものの、「居住誘導区域」のような明確な区域指定や人口密度等の数値目標の記載はないため。,コミュニティバスの維持・改善に言及するも、運行頻度等の具体的なサービス水準目標や、公共交通沿線への居住誘導の記述はないため。,方針図に「歩行者ネットワーク」「サイクリングロード」が図示されているが、「歩いて暮らせる」という理念や町全体の体系的なネットワーク計画、健康指標との連動に関する記述はないため。,「高齢者や障害のある方など、誰もが気軽に利用でき、等しく社会参加できるよう、既存の公共施設の改修などにあわせてバリアフリー化を図り」と理念は述べられているが、徒歩圏での施設配置基準や具体的な施設配置計画の記述はないため。,「浸水想定区域（区域指定）などにより、当該地域が浸水危険区域であることを周知します。」といった対策に留まり、ハザードマップで示された危険区域での開発抑制や移転促進といった強い土地利用規制への言及はないため。,空き家が課題であるとの認識はあるものの、マスタープラン内で具体的な対策や目標、交通安全のための「ゾーン30」等の具体的な制度に関する記述がないため。,「五霞インターチェンジ周辺においては、引き続き交通利便性を活かした新たな活力創出の拠点となるよう、物流関連事業所や地域振興に寄与する事業所などを計画的に誘導します。」とあり産業誘導エリアは明確だが、売上高等、具体的な経済指標の目標設定はないため。,「都市基盤施設等の社会資本ストックが更新時期を迎えつつあり、維持管理や改修・更新にかかるコストが増加するため、既存ストックの有効活用や適正管理、効果的な公共施設の配置・再編が求められます。」とあり、公共施設等総合管理計画との連携が明確なため。,「環境負荷の少ない低炭素型のまちづくりが求められています。」という理念の記述はあるが、具体的なCO2排出量削減目標や再生可能エネルギー導入に関する施策の記載がないため。
茨城,境町,"24,201",2020,0,1,8,7,4,6,9,5,7,6,6,58,将来都市構造として『拠点』『軸』『ゾーン』を定義し、将来都市構造図(p.19)で図示している。立地適正化計画との連携により『健康福祉拠点』等を都市機能誘導区域に指定し、大規模小売店舗や病院等を誘導施設に指定する方針(p.22)が示されているが、人口密度等の具体的な数値目標はない。,シャトルバスの導入検討(p.30)、デマンド交通の導入検討(p.31)など具体的な交通手段が挙げられ、バス路線周辺への居住誘導方針(p.31)も示されている。しかし、運行頻度等の具体的なサービス水準目標は記載されていない。,『共生社会に対応した、歩いて暮らせるまちづくり』(p.23)や、『徒歩や自転車でも快適に移動することができる、回遊性のあるネットワークの形成』(p.32)を目指す方針が示されている。しかし、具体的なネットワーク計画図や健康指標との連動、数値目標はない。,『健康福祉拠点』(p.17)として病院や保育園等の施設を集約する方針や、『子育てしやすく安心して暮らせるまちづくり』を目指す地域優良賃貸住宅の建設推進(p.24)が明記されている。しかし、高齢者の徒歩圏に関する具体的な基準や計画は示されていない。,浸水想定区域図(p.41)を基に、『立地適正化計画において浸水想定深5m以上の区域については、...新規定住者等のより安全性の高いエリアへの居住誘導を図ります』(p.40)と明記。家屋倒壊等氾濫想定区域に指定される11号区域の一部について見直しを検討する(p.25)など、ハザードリスクに応じた土地利用誘導の方針が具体的。,『空き家バンクの開設による管理・情報提供』(p.23)や『空き地については、公園等への転用を推進』(p.23)するなど、空き家・空き地対策について具体的な手法が示されている。しかし、交通安全や防犯に関する具体的な施策や目標値は記載されていない。,『境古河IC周辺地区』や『猿山・蛇池地区』(p.24)を新たな産業用地として具体的に位置づけ、土地区画整理事業や地区計画といった事業手法も明記されている。しかし、売上高や雇用者数といった具体的な経済指標の目標は設定されていない。,公共施設の老朽化率48.9%という現状認識(p.38)に基づき、集約型都市構造の推進(p.10)や、公共施設の複合化・再編(p.38)による持続可能な都市経営を目指す方針が示されている。しかし、インフラ維持管理コストの具体的な削減目標額や、個別の施設再編計画は記載されていない。,『水素自動車とスマート水素ステーションを活用した温室効果ガスの排出抑制』や『太陽光発電をはじめとする自然エネルギーの利用促進』(p.37)など、低炭素化に向けた具体的な施策が複数挙げられている。しかし、町全体のCO2排出量に関する具体的な削減目標値は設定されていない。
茨城,利根町,"15,340",2019,0,0,5,4,3,3,6,5,6,4,3,39,コンパクトシティの理念や機能集約の方向性は示されているが、「居住誘導区域」等の具体的な区域指定や人口密度等の数値目標がないため。引用：「従来の拡大型の都市構造から集約型の都市構造への転換が求められています。」「都市生活機能をコンパクトに集約、配置し、利便性の高い住環境をつくる。」,公共交通の課題認識は高いが、具体的な路線再編案や運行頻度等のサービス水準目標が示されておらず、理念の提示にとどまっているため。引用：「地区の状況に応じたきめ細かい交通サービスの導入を図り、気軽に利用できる利便性の高い公共交通ネットワークを形成します。」「人工知能（AI）による新しい運航支援のあるバスや自動運転バス等、…技術の導入も視野に入れ…検討に努めます。」,将来都市構造図に「歩行者・自転車道のネットワークの形成」が図示されているものの、具体的なネットワーク計画や整備目標、健康指標との連動に関する記述がないため。引用：「歩行者の安全に配慮した道路の整備」「通学路等の歩道整備を推進します。」,高齢者や子育て世代への配慮の必要性は認識されているが、高齢者の徒歩圏内への施設配置基準や、子育て支援施設の具体的な配置計画が示されていないため。引用：「高齢社会の進展を考慮した日常生活圏における生活利便性を支える生活拠点形成を図ります。」「保育所、保育園、認定こども園、学童クラブ等の設置等社会福祉施設…等の設置を含め…都市公園整備を検討していきます。」,洪水や土砂災害のハザードマップを明示し、スーパー堤防等のハード対策には言及しているが、危険区域内での開発抑制や移転促進といった具体的な土地利用規制に関する方針が示されていないため。引用：「本町は台地部を除き、水害（外水氾濫）の潜在的危険性のあることがわかります。」「スーパー堤防等の溢水防止対策等により、被害の軽減を図ります。」,空き家の実態調査を行い利活用の方向性は示されているが、具体的な活用・除却の数値目標がなく、交通安全や防犯対策も具体的な施策名や目標値の記載がないため。引用：「利根町空家等対策計画における方策を考慮し、低未利用地の活用を促進します。」「空家等対策の推進」「防犯対策の充実」,産業用地の確保について県道沿いという具体的なエリアを示し、6次産業等のコンセプトも提示しているが、売上高や雇用者数といった具体的な経済指標の目標設定がないため。引用：「地区活力の増大に資する産業用地の確保」「県道美浦栄線バイパスの整備に伴う地区ポテンシャルを活かし、地区活力の増大を目指した産業用地の確保を図ります。」,インフラの長寿命化や公共施設の利活用・適正配置には言及しているが、具体的なコスト削減目標や財政効果の試算、公共施設再編の具体的な計画が示されていないため。引用：「長寿命化計画の策定を推進し、計画に基づく橋梁や道路施設等の効率的な維持管理を推進します。」「公共公益施設の建替えに併せ、適正配置を検討します。」,低炭素社会の理念や公共施設への再エネ設備導入には言及しているが、CO2排出量の具体的な削減目標や再生可能エネルギーの導入目標がなく、理念の記述にとどまっているため。引用：「持続可能な低炭素型の都市形成を図ります。」「環境負荷に配慮し、公共施設への自然エネルギー設備の導入を促進します。」
栃木,宇都宮市,"518,757",2024,0,1,10,9,7,6,5,6,7,9,9,68,p58に市街地ゾーンを高密度・中高密度・低中密度に区分し、それぞれ「概ね60人/ha以上」「概ね50人/ha以上」「概ね40人/ha以上」という具体的な目標人口密度を設定していること、またp137の進行管理指標で誘導区域の人口割合・人口密度の具体的な数値目標が設定されているため。,p70でLRT導入やバスネットワーク再編といった具体的な公共交通体系の整備方針が示されていること、さらにp138の進行管理指標で交通分担率や利用者数、移動時間等の具体的な数値目標が設定されているため。,p57で「市民が歩いて生活できる健康づくり」を掲げ、p76で歩行者・自転車の通行分離等の具体的な方針が示されていること、p139で「介護認定を受けていない高齢者の割合」を参考指標とし健康指標との連動を意識しているため。,p93において「福祉のまちづくりの方針」の中で、NCC（ネットワーク型コンパクトシティ）の形成と「地域包括ケアシステム」の深化・推進を明確に連携させているため。,p91で避難場所、緊急輸送道路の整備、建物の不燃化・耐震化促進など具体的な防災施策が列挙されているが、ハザード情報に基づく危険区域での開発抑制など、土地利用規制に関する踏み込んだ記述が限定的であるため。,p88で「都市のスポンジ化」への対応として、空き家の発生予防、維持管理、マッチングによる利活用促進という具体的な対策が明記されているため。,p63「産業拠点」、p69「都心商業業務地」など、商業・業務機能の誘導エリアが明確に指定されており、企業誘致の方針も示されているが、計画の成果を測る具体的な経済指標の目標値が設定されていないため。,"p25で人口密度と行政コストの関係性を示しコンパクト化による財政効果を企図していること、またp139で公共施設等総合管理計画と連携した具体的なインフラ維持更新費の縮減目標（約2,527億円、23.6%縮減）を掲げているため。",p92-93で公共交通への転換、再生可能エネルギーの導入支援といった具体的な施策が示され、p139で地球温暖化対策実行計画と連携した温室効果ガス総排出量の具体的な削減目標が明記されているため。
栃木,足利市,"144,746",2024,0,1,7,6,7,4,7,5,6,9,6,57,「商業、業務、学術、行政機能などの様々な都市機能が集積し、多様な土地利用を図る拠点として、市街地中心部を広域拠点に位置付けます。」(p.40)と拠点の役割を定義し、将来都市構想図(p.42)で位置を図示しているが、誘導区域内の人口密度等の数値目標は記載されていないため。,「都市軸の形成にあたっては、…『公共交通』を主軸とするため、JR両毛線、東武伊勢崎線を本市東西方向の移動の軸に位置付けます。」(p.43)とし、MaaS等の導入検討にも言及しているが、具体的なサービス水準目標は記載されていないため。,「ウオーカブル推進都市の取組として、足利駅から足利学校、鑁阿寺や織姫神社間を中心に、居心地が良く歩きたくなる空間づくりを促進する」(p.59)と具体的なエリアでのネットワーク計画が示されているが、健康指標との連動が明記されていないため。,「子どもや子育て世代、高齢者、障がいのある方にとって、安全で住み良いまちを形成するため、ユニバーサルデザインに配慮したまちづくりを推進します。」(p.50)といった理念的な記述に留まり、具体的な施設配置基準や徒歩圏が明記されていないため。,「本市の洪水・土砂災害ハザードマップ」(p.19)を掲載し、災害リスクを明示しているが、危険区域における開発抑制や移転促進といった強い土地利用規制への言及が限定的であるため。,「本市の空き家の実態を把握しながら、その適切な管理を促し、危険な空き家を解消していく」(p.114)と方針は示されているものの、具体的な数値目標や制度（ゾーン30等）の記述が乏しいため。,「活力ある産業活動の基盤づくりを推進するため、産業が集積した既存産業団地等を産業振興拠点に位置付けます。」(p.41)と誘導エリアが示されているが、具体的な経済指標の目標は記載されていないため。,「充当可能な財源見込みは、年間約49.5億円と試算され、年間約96.2億円の不足が見込まれます。」(p.18)と具体的な財政推計に基づき課題を明示し、公共施設等総合管理計画との連携を掲げているため。,「『2050年カーボンニュートラル』の実現を目指し、…CO2排出削減に向け全力で取り組んで行くことを宣言しました。」(p.27)と方針を掲げているが、計画本体に具体的なCO2削減数値目標は記載されていないため。
